t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
1.44	0.561648	0.177509	-0.177509	-0.561648	-0.177509	0.177509	0	0	0	-0.715846	0.0432131	-0.0432131	0.715846	-0.0432131	0.0432131	0	0	0
1.45	0.55449	0.177941	-0.177941	-0.55449	-0.177941	0.177941	0	0	0	-0.724892	0.0403541	-0.0403541	0.724892	-0.0403541	0.0403541	0	0	0
1.46	0.547241	0.178344	-0.178344	-0.547241	-0.178344	0.178344	0	0	0	-0.734101	0.0373987	-0.0373987	0.734101	-0.0373987	0.0373987	0	0	0
1.47	0.5399	0.178718	-0.178718	-0.5399	-0.178718	0.178718	0	0	0	-0.743481	0.0343418	-0.0343418	0.743481	-0.0343418	0.0343418	0	0	0
1.48	0.532465	0.179062	-0.179062	-0.532465	-0.179062	0.179062	0	0	0	-0.753038	0.0311782	-0.0311782	0.753038	-0.0311782	0.0311782	0	0	0
1.49	0.524935	0.179373	-0.179373	-0.524935	-0.179373	0.179373	0	0	0	-0.762779	0.0279023	-0.0279023	0.762779	-0.0279023	0.0279023	0	0	0
1.5	0.517307	0.179652	-0.179652	-0.517307	-0.179652	0.179652	0	0	0	-0.772713	0.024508	-0.024508	0.772713	-0.024508	0.024508	0	0	0
1.51	0.50958	0.179898	-0.179898	-0.50958	-0.179898	0.179898	0	0	0	-0.782846	0.0209888	-0.0209888	0.782846	-0.0209888	0.0209888	0	0	0
1.52	0.501751	0.180107	-0.180107	-0.501751	-0.180107	0.180107	0	0	0	-0.793189	0.0173375	-0.0173375	0.793189	-0.0173375	0.0173375	0	0	0
1.53	0.493819	0.180281	-0.180281	-0.493819	-0.180281	0.180281	0	0	0	-0.80375	0.0135467	-0.0135467	0.80375	-0.0135467	0.0135467	0	0	0
1.54	0.485782	0.180416	-0.180416	-0.485782	-0.180416	0.180416	0	0	0	-0.814538	0.00960816	-0.00960816	0.814538	-0.00960816	0.00960816	0	0	0
1.55	0.477636	0.180512	-0.180512	-0.477636	-0.180512	0.180512	0	0	0	-0.825565	0.00551296	-0.00551296	0.825565	-0.00551296	0.00551296	0	0	0
1.56	0.469381	0.180568	-0.180568	-0.469381	-0.180568	0.180568	0	0	0	-0.83684	0.00125151	-0.00125151	0.83684	-0.00125151	0.00125151	0	0	0
1.57	0.461012	0.18058	-0.18058	-0.461012	-0.18058	0.18058	0	0	0	-0.848377	-0.00318661	0.00318661	0.848377	0.00318661	-0.00318661	0	0	0
1.58	0.452529	0.180548	-0.180548	-0.452529	-0.180548	0.180548	0	0	0	-0.860187	-0.00781275	0.00781275	0.860187	0.00781275	-0.00781275	0	0	0
1.59	0.443927	0.18047	-0.18047	-0.443927	-0.18047	0.18047	0	0	0	-0.872285	-0.0126393	0.0126393	0.872285	0.0126393	-0.0126393	0	0	0
1.6	0.435204	0.180344	-0.180344	-0.435204	-0.180344	0.180344	0	0	0	-0.884683	-0.0176796	0.0176796	0.884683	0.0176796	-0.0176796	0	0	0
